Keyword,Clicks,Impressions,CTR,Avg CPC,Cost,Conversions
used cars near me,412,8100,5.09%,1.85,762.20,18
certified pre-owned suv,289,6200,4.66%,2.10,606.90,12
car dealership financing,156,5400,2.89%,3.25,507.00,5
best car deals 2026,98,4700,2.09%,2.60,254.80,3
toyota dealer near me,530,7900,6.71%,1.95,1033.50,26
honda civic for sale,245,3900,6.28%,2.40,588.00,14
truck trade in value,88,3100,2.84%,4.10,360.80,2
new car lease specials,177,4300,4.12%,2.75,486.75,9
family suv under 30000,64,2600,2.46%,3.60,230.40,1
car service and repair,312,5000,6.24%,1.40,436.80,20
electric vehicle dealer,142,3300,4.30%,3.90,553.80,6
budget used trucks,53,2100,2.52%,2.95,156.35,1
weekend car sale event,201,4600,4.37%,1.99,399.99,10
luxury sedan lease,71,2800,2.54%,4.50,319.50,2
car dealership reviews,39,1900,2.05%,1.10,42.90,0
